Country,Currency,Location,Breakfast,Lunch,Dinner,Total Meals,Incidental Amount,GRAND TOTAL (taxes included)
Afghanistan – Currency: US dollar (USD),,Other,*,*,*,*,17.50 CAD,*
Albania,Euro (EUR),Tirana,*,10.45,15.5,25.95,10.38,36.33
Albania,Euro (EUR),Other,*,8.36,12.4,20.76,8.3,29.06
Algeria,Canadian dollar (CAD),Algiers,36.7,40.75,54.45,131.9,42.21,174.11
Algeria,Canadian dollar (CAD),Other,29.36,32.6,43.56,105.52,33.77,139.29
Andorra,Euro (EUR). Note: One rate for country,Andorra la Vella,*,*,*,*,17.50 CAD,*
Angola,Canadian dollar (CAD),Luanda,*,111.35,131.75,243.1,97.24,340.34
Angola,Canadian dollar (CAD),Other,*,89.08,105.4,194.48,77.79,272.27
Anguilla – Currency: US dollar (USD). Note: One rate for country,,The Valley,19.2,45.2,67.75,132.15,42.29,174.44
Antarctica,Canadian dollar (CAD). Note: One rate for country,Antarctica,*,*,*,*,17.50 CAD,*
Antigua and Barbuda – Currency: US dollar (USD). Note: One rate for country,,St. John's,27.15,60.6,83.8,171.55,54.9,226.45
Argentina,Argentina peso (ARS),Buenos Aires,413,584,799,"1,796.00",574.72,"2,370.72"
Argentina,Argentina peso (ARS),Other,330.4,467.2,639.2,"1,436.80",459.78,"1,896.58"
Armenia – Currency: US dollar (USD). Note: One rate for country,,Yerevan,15.95,20.1,26.45,62.5,20,82.5
Aruba (Kingdom of the Netherlands) – Currency: US dollar (USD),,Oranjestad,20.35,36.85,50.15,107.35,34.35,141.7
Australia,Australian dollar (AUD),Adelaide,32.15,55.75,79.15,167.05,53.46,220.51
Australia,Australian dollar (AUD),Brisbane,34.5,60,88.15,182.65,58.45,241.1
Australia,Australian dollar (AUD),Canberra,28.6,55.4,69.55,153.55,49.14,202.69
Australia,Australian dollar (AUD),Hobart,27,54,74.25,155.25,49.68,204.93
Australia,Australian dollar (AUD),Melbourne,32,61.15,85.65,178.8,57.22,236.02
Australia,Australian dollar (AUD),Perth,33.25,59.7,82.1,175.05,56.02,231.07
Australia,Australian dollar (AUD),Sydney,35,66.45,90.8,192.25,61.52,253.77
Australia,Australian dollar (AUD),Other,22.88,44.32,55.64,122.84,39.31,162.15
Austria,Euro (EUR),Graz,17.2,35.6,49.4,102.2,32.7,134.9
Austria,Euro (EUR),Salzburg,20.9,36.6,47.45,104.95,33.58,138.53
Austria,Euro (EUR),Vienna,30.05,38.9,52.5,121.45,38.86,160.31
Austria,Euro (EUR),Other,24.04,31.12,42,97.16,31.09,128.25
Azerbaijan – Currency: US dollar (USD). Note: One rate for country,,Baku,17.1,32.4,41.6,91.1,29.15,120.25
Azores,Euro (EUR). Note: One rate for country,Ponta Delgada,*,*,*,*,17.50 CAD,*
Bahamas – Currency: US dollar (USD). Note: One rate for country,,Nassau,26.2,41.85,60.8,128.85,41.23,170.08
Bahrain,Bahraini dinar (BHD). Note: One rate for country,Manama,10.25,14.55,20,44.8,14.34,59.14
Bangladesh,Taka (BDT),Dhaka,"1,465.00","2,980.00","4,105.00","8,550.00","2,736.00","11,286.00"
Bangladesh,Taka (BDT),Other,"1,172.00","2,384.00","3,284.00","6,840.00","2,188.80","9,028.80"
Barbados,Barbados dollar (BBD). Note: One rate for country,Bridgetown,45.7,93.65,130.7,270.05,86.42,356.47
Belarus,Belarusian rouble (BYR). Note: One rate for country,Minsk,40.5,40,55.2,135.7,43.42,179.12
Belgium,Euro (EUR),Brussels,22.5,36.75,42.95,102.2,32.7,134.9
Belgium,Euro (EUR),Other,18,29.4,34.36,81.76,26.16,107.92
Belize,Belize dollar (BZD),Belize City,32.4,55.85,71.75,160,51.2,211.2
Belize,Belize dollar (BZD),Other,25.92,44.68,57.4,128,40.96,168.96
Benin – Currency: CFA franc BCEAO (XOF),,Cotonou,"9,700.00","14,800.00","18,250.00","42,750.00","13,680.00","56,430.00"
Benin – Currency: CFA franc BCEAO (XOF),,Other,"7,760.00","11,840.00","14,600.00","34,200.00","10,944.00","45,144.00"
Bermuda – Currency: US dollar (USD). Note: One rate for country,,Hamilton,27.6,52.1,72.25,151.95,48.62,200.57
Bhutan,Ngultrum (BTN). Note: One rate for country,Thimphu,"1,190.00","2,255.00","2,960.00","6,405.00","2,049.60","8,454.60"
Bolivia – Currency: US dollar (USD),,La Paz,9.35,17.4,25.75,52.5,16.8,69.3
Bolivia – Currency: US dollar (USD),,Santa Cruz,*,20.85,26.25,47.1,18.84,65.94
Bolivia – Currency: US dollar (USD),,Other,7.48,13.92,20.6,42,13.44,55.44
Bonaire (Kingdom of the Netherlands) – Currency: US dollar (USD). Note: One rate for country,,Kralendijk,18.3,36.2,49.75,104.25,33.36,137.61
Bosnia and Herzegovina,Euro (EUR),Sarajevo,8.8,13.5,18.7,41,13.12,54.12
Bosnia and Herzegovina,Euro (EUR),Other,7.04,10.8,14.96,32.8,10.5,43.3
Botswana,Pula (BWP),Gaborone,180,234,296,710,227.2,937.2
Botswana,Pula (BWP),Other,144,187.2,236.8,568,181.76,749.76
Brazil,Real (BRL),Brasilia,58.5,103.5,141.5,303.5,97.12,400.62
Brazil,Real (BRL),Rio de Janeiro,82,137.5,166,385.5,123.36,508.86
Brazil,Real (BRL),Sao Paulo,85.5,117,146.5,349,111.68,460.68
Brazil,Real (BRL),Other,46.8,82.8,113.2,242.8,77.7,320.5
Brunei Darussalam,Brunei dollar (BND). Note: One rate for country,Bandar Seri Begawan,*,29.5,42.75,72.25,28.9,101.15
Bulgaria,Euro (EUR),Sofia,15.3,17,24.65,56.95,18.22,75.17
Bulgaria,Euro (EUR),Other,12.24,13.6,19.72,45.56,14.58,60.14
Burkina Faso – Currency: CFA franc BCEAO (XOF),,Ouagadougou,"5,000.00","11,900.00","14,800.00","31,700.00","10,144.00","41,844.00"
Burkina Faso – Currency: CFA franc BCEAO (XOF),,Other,"4,000.00","9,520.00","11,840.00","25,360.00","8,115.20","33,475.20"
Burma (Myanmar) – Currency: US dollar (USD),,Yangon,20.9,31.25,42,94.15,30.13,124.28
Burma (Myanmar) – Currency: US dollar (USD),,Other,16.72,25,33.6,75.32,24.1,99.42
Burundi,Burundi franc (BIF),Bujumbura,"23,250.00","42,000.00","56,150.00","121,400.00","38,848.00","160,248.00"
Burundi,Burundi franc (BIF),Other,"18,600.00","33,600.00","44,920.00","97,120.00","31,078.40","128,198.40"
Cambodia – Currency: US dollar (USD),,Phnom Penh,16.5,24.25,36.95,77.7,24.86,102.56
Cambodia – Currency: US dollar (USD),,Other,13.2,19.4,29.56,62.16,19.89,82.05
Cameroon – Currency: CFA franc BEAC (XAF),,Douala,"12,650.00","18,600.00","23,050.00","54,300.00","17,376.00","71,676.00"
Cameroon – Currency: CFA franc BEAC (XAF),,Yaoundé,"13,500.00","18,750.00","20,600.00","52,850.00","16,912.00","69,762.00"
Cameroon – Currency: CFA franc BEAC (XAF),,Other,"10,800.00","15,000.00","16,480.00","42,280.00","13,529.60","55,809.60"
Canary Islands,Euro (EUR). Note: One rate for country,All Islands,*,*,*,*,17.50 CAD,*
Cape Verde,Cape Verde escudo (CVE),Praia,*,"1,710.00","2,220.00","3,930.00","1,572.00","5,502.00"
Cape Verde,Cape Verde escudo (CVE),Other,*,"1,368.00","1,776.00","3,144.00","1,257.60","4,401.60"
Cayman Islands,Cayman Islands dollar (KYD). Note: One rate for country,George Town,15.6,38.35,55.8,109.75,35.12,144.87
Central African Republic – Currency: CFA franc BEAC (XAF),,Bangui,"8,400.00","16,500.00","20,550.00","45,450.00","14,544.00","59,994.00"
Central African Republic – Currency: CFA franc BEAC (XAF),,Other,"6,720.00","13,200.00","16,440.00","36,360.00","11,635.20","47,995.20"
Chad – Currency: CFA franc BEAC (XAF). Note: One rate for country,,N'Djamena,"10,900.00","18,050.00","22,150.00","51,100.00","16,352.00","67,452.00"
Chile,Chilean peso (CLP),Santiago,"11,950.00","22,050.00","29,800.00","63,800.00","20,416.00","84,216.00"
Chile,Chilean peso (CLP),Other,"9,560.00","17,640.00","23,840.00","51,040.00","16,332.80","67,372.80"
China,Yuan renminbi (CNY),Beijing,150.5,220,329.5,700,224,924
China,Yuan renminbi (CNY),Guangzhou (Canton),139.5,274,392,805.5,257.76,"1,063.26"
China,Yuan renminbi (CNY),Shanghai,161,229,356,746,238.72,984.72
China,Yuan renminbi (CNY),Shenzhen,171.5,291.5,416.5,879.5,281.44,"1,160.94"
China,Yuan renminbi (CNY),Other,120.4,176,263.6,560,179.2,739.2
Christmas Island,Australian dollar (AUD). Note: One rate for country,Flying Fish Cove,*,*,*,*,17.50 CAD,*
Colombia,Colombian peso (COP),Bogotá,"36,700.00","64,400.00","84,700.00","185,800.00","59,456.00","245,256.00"
Colombia,Colombian peso (COP),Cali,"37,400.00","66,800.00","85,100.00","189,300.00","60,576.00","249,876.00"
Colombia,Colombian peso (COP),Cartagena,"37,300.00","67,900.00","90,900.00","196,100.00","62,752.00","258,852.00"
Colombia,Colombian peso (COP),Medellïn,"36,000.00","66,500.00","84,500.00","187,000.00","59,840.00","246,840.00"
Colombia,Colombian peso (COP),Other,"29,360.00","51,250.00","67,760.00","148,640.00","47,564.80","196,204.80"
Comoros,Comoro franc (KMF). Note: One rate for country,Moroni,*,*,*,*,17.50 CAD,*
Congo – Currency: CFA franc BEAC (XAF),,Brazzaville,*,"19,200.00","22,500.00","41,700.00","16,680.00","58,380.00"
Congo – Currency: CFA franc BEAC (XAF),,Other,*,"15,360.00","18,000.00","33,360.00","13,344.00","46,704.00"
"Congo, Democratic Republic of – Currency: US dollar (USD)",,Kinshasa,24.1,43.1,65,132.2,42.3,174.5
"Congo, Democratic Republic of – Currency: US dollar (USD)",,Other,19.28,34.48,52,105.76,33.84,139.6
Cook Islands,New Zealand dollar (NZD). Note: One rate for country,Avarua,*,*,*,*,17.50 CAD,*
Costa Rica,Costa Rican colon (CRC),San José,"10,700.00","16,200.00","20,700.00","47,600.00","15,232.00","62,832.00"
Costa Rica,Costa Rican colon (CRC),Other,"8,560.00","12,960.00","16,560.00","38,080.00","12,185.60","50,265.60"
Côte d'Ivoire – Currency: CFA franc BCEAO (XOF),,Abidjan,"17,950.00","24,250.00","30,100.00","72,300.00","23,136.00","95,436.00"
Côte d'Ivoire – Currency: CFA franc BCEAO (XOF),,Other,"14,360.00","19,400.00","24,080.00","57,840.00","18,508.80","76,348.80"
Croatia,Euro (EUR),Dubrovnik,19.1,27.95,40.45,87.5,28,115.5
Croatia,Euro (EUR),Zagreb,17.9,23.2,34.05,75.15,24.05,99.2
Croatia,Euro (EUR),Other,14.32,18.56,27.24,60.12,19.24,79.36
Cuba,Cuban convertible peso (CUC). Note: One rate for country,Havana,16.8,20.8,28.2,65.8,21.06,86.86
Curaçao (Kingdom of the Netherlands) – Currency: US dollar (USD). Note: One rate for country,,Willemstad,18.1,39.55,48.85,106.5,34.08,140.58
Cyprus,Euro (EUR). Note: One rate for country,Nicosia,16.25,33.4,41.05,90.7,29.02,119.72
Czech Republic,Czech koruna (CZK),Prague,*,655,890,"1,545.00",618,"2,163.00"
Czech Republic,Czech koruna (CZK),Other,*,524,712,"1,236.00",494.4,"1,730.40"
Denmark,Danish krone (DKK),Copenhagen,205,380.5,513.5,"1,099.00",351.68,"1,450.68"
Denmark,Danish krone (DKK),Other,164,304.4,410.8,879.2,281.34,"1,160.54"
Djibouti,Djibouti franc (DJF). Note: One rate for country,Djibouti,*,"5,510.00","7,060.00","12,570.00","5,028.00","17,598.00"
Dominica,East Caribbean dollar (XCD). Note: One rate for country,Roseau,38.4,72.4,113.55,224.35,71.79,296.14
Dominican Republic,Dominican peso (DOP). Note: One rate for country,Santo Domingo,790,"1,170.00","1,635.00","3,595.00","1,150.40","4,745.40"
Ecuador – Currency: US dollar (USD),,Guayaquil,16.45,27.25,34.05,77.75,24.88,102.63
Ecuador – Currency: US dollar (USD),,Quito,21.2,27.05,37.55,85.8,27.46,113.26
Ecuador – Currency: US dollar (USD),,Other,16.96,21.64,30.04,68.64,21.96,90.6
Egypt,Egyptian pound (EGP),Cairo,261,389.5,526,"1,176.50",376.48,"1,552.98"
Egypt,Egyptian pound (EGP),Other,208.8,311.6,420.8,941.2,301.18,"1,242.38"
El Salvador – Currency: US dollar (USD). Note: One rate for country,,San Salvador,11.85,21.1,28.5,61.45,19.66,81.11
Equatorial Guinea – Currency: CFA franc BEAC (XAF). Note: One rate for country,,Bata,"7,300.00","15,700.00","18,300.00","41,300.00","13,216.00","54,516.00"
Eritrea,Nakfa (ERN),Asmara,226.5,496,604.5,"1,327.00",424.64,"1,751.64"
Eritrea,Nakfa (ERN),Other,181.2,396.8,483.6,"1,061.60",339.71,"1,401.31"
Estonia,Euro (EUR),Tallinn,21.9,36.7,44.2,102.8,32.9,135.7
Estonia,Euro (EUR),Other,17.52,29.36,35.36,82.24,26.32,108.56
Ethiopia,Ethiopian birr (ETB),Addis Ababa,445,506,692,"1,643.00",525.76,"2,168.76"
Ethiopia,Ethiopian birr (ETB),Other,356,404.8,553.6,"1,314.40",420.61,"1,735.01"
Faeroe Islands,Danish krone (DKK). Note: One rate for country,Tórshavn,*,*,*,*,17.50 CAD,*
Falkland Islands,Falkland Islands pound (FKP). Note: One rate for country,Stanley,*,*,*,*,17.50 CAD,*
Fiji,Fiji dollar (FJD). Note: One rate for country,Suva,34,76.35,104.75,215.1,68.83,283.93
Finland,Euro (EUR),Helsinki,23.8,47.3,58.45,129.55,41.46,171.01
Finland,Euro (EUR),Other,19.04,37.84,46.76,103.64,33.16,136.8
France,Euro (EUR),Paris,28,49.25,59.35,136.6,43.71,180.31
France,Euro (EUR),Other,22.4,39.4,47.48,109.28,34.97,144.25
French Guiana,Euro (EUR). Note: One rate for country,Cayenne,*,*,*,*,17.50 CAD,*
French Polynesia – Currency: CFP franc (XPF). Note: One rate for country,,Papeete,*,*,*,*,17.50 CAD,*
Gabon – Currency: CFA franc BEAC (XAF),,Libreville,"14,100.00","21,400.00","29,800.00","65,300.00","20,896.00","86,196.00"
Gabon – Currency: CFA franc BEAC (XAF),,Other,"11,280.00","17,120.00","23,840.00","52,240.00","16,716.80","68,956.80"
Gambia (The),Dalasi (GMD). Note: One rate for country,Banjul,327,724,931,"1,982.00",634.24,"2,616.24"
Georgia,Euro (EUR),Tbilisi,12.05,18.15,27.8,58,18.56,76.56
Georgia,Euro (EUR),Other,9.64,14.52,22.24,46.4,14.85,61.25
Germany,Euro (EUR),Berlin,28.3,37.95,53.55,119.8,38.34,158.14
Germany,Euro (EUR),Düsseldorf,28.15,35.15,50.9,114.2,36.54,150.74
Germany,Euro (EUR),Frankfurt,29.75,37.65,49.45,116.85,37.39,154.24
Germany,Euro (EUR),Hamburg,29.7,38.45,51.55,119.7,38.3,158
Germany,Euro (EUR),Munich,24.65,39.05,51.65,115.35,36.91,152.26
Germany,Euro (EUR),Other,22.64,30.36,42.84,95.84,30.67,126.51
Ghana,Cedi (GHS),Accra,75.5,142.5,176.5,394.5,126.24,520.74
Ghana,Cedi (GHS),Other,60.4,114,141.2,315.6,100.99,416.59
Gibraltar,Gibraltar pound (GIP). Note: One rate for country,Gibraltar,*,*,*,*,17.50 CAD,*
Greece,Euro (EUR),Athens,25.1,40.4,56.55,122.05,39.06,161.11
Greece,Euro (EUR),Other,20.08,32.32,45.24,97.64,31.24,128.88
Greenland,Danish krone (DKK),Nuuk,117.5,211,306,634.5,203.04,837.54
Greenland,Danish krone (DKK),Other,94,168.8,244.8,507.6,162.43,670.03
Grenada,East Caribbean dollar (XCD). Note: One rate for country,Saint George's,82.85,94.8,125.6,303.25,97.04,400.29
Guadeloupe,Euro (EUR). Note: One rate for country,Basse-Terre,*,*,*,*,17.50 CAD,*
Guatemala,Quetzal (GTQ),Antigua Guatemala,106.5,220,271.5,598,191.36,789.36
Guatemala,Quetzal (GTQ),Guatemala City,124,228.5,294.5,647,207.04,854.04
Guatemala,Quetzal (GTQ),Other,99.2,182.8,235.6,517.6,165.63,683.23
Guinea,Guinea franc (GNF),Conakry,"118,000.00","267,500.00","338,500.00","724,000.00","231,680.00","955,680.00"
Guinea,Guinea franc (GNF),Other,"94,400.00","214,000.00","270,800.00","579,200.00","185,344.00","764,544.00"
Guinea-Bissau,Canadian dollar (CAD). Note: One rate for country,Bissau,27.3,29,41.65,97.95,31.34,129.29
Guyana,Guyana dollar (GYD). Note: One rate for country,Georgetown,"3,350.00","7,110.00","9,370.00","19,830.00","6,345.60","26,175.60"
Haiti – Currency: US dollar (USD),,Port-au-Prince,13.85,33.2,45.5,92.55,29.62,122.17
Haiti – Currency: US dollar (USD),,Other,11.08,26.56,36.4,74.04,23.69,97.73
Honduras,Lempira (HNL),Tegucigalpa,340,545,755,"1,640.00",524.8,"2,164.80"
Honduras,Lempira (HNL),Other,272,436,604,"1,312.00",419.84,"1,731.84"
Hong Kong,Hong Kong dollar (HKD). Note: One rate for country,Hong Kong,263,374,563,"1,200.00",384,"1,584.00"
Hungary,Euro (EUR),Budapest,14.35,28.55,37.3,80.2,25.66,105.86
Hungary,Euro (EUR),Other,11.48,22.84,29.84,64.16,20.53,84.69
Iceland,Iceland krona (ISK),Reykjavik,"3,050.00","5,520.00","9,320.00","17,890.00","5,724.80","23,614.80"
Iceland,Iceland krona (ISK),Other,"2,440.00","4,416.00","7,456.00","14,312.00","4,579.84","18,891.84"
India,Indian rupee (INR),Bangalore,"1,150.00","1,750.00","2,250.00","5,150.00","1,648.00","6,798.00"
India,Indian rupee (INR),Chandigarh,725,"1,245.00","1,730.00","3,700.00","1,184.00","4,884.00"
India,Indian rupee (INR),Mumbai (Bombay),"1,530.00","2,935.00","3,690.00","8,155.00","2,609.60","10,764.60"
India,Indian rupee (INR),New Delhi,"1,290.00","2,335.00","2,960.00","6,585.00","2,107.20","8,692.20"
India,Indian rupee (INR),Other,"1,032.00","1,868.00","2,368.00","5,268.00","1,685.76","6,953.76"
Indonesia – Currency: US dollar (USD),,Denpasar (Bali),21.5,27.9,37.65,87.05,27.86,114.91
Indonesia – Currency: US dollar (USD),,Jakarta,30.35,34.25,42.05,106.65,34.13,140.78
Indonesia – Currency: US dollar (USD),,Other,24.28,27.4,33.64,85.32,27.3,112.62
Iran,Iranian rial (IRR),Tehran,"559,000.00","541,000.00","693,000.00","1,793,000.00","573,760.00","2,366,760.00"
Iran,Iranian rial (IRR),Other,"447,200.00","432,800.00","554,400.00","1,434,400.00","459,008.00","1,893,408.00"
Iraq,Iraqi dinar (IQD). Note: One rate for country,Baghdad,*,*,*,*,17.50 CAD,*
Ireland,Euro (EUR),Dublin,22.35,36.5,46.85,105.7,33.82,139.52
Ireland,Euro (EUR),Other,17.88,29.2,37.48,84.56,27.06,111.62
"Israel, the West Bank and Gaza – Currency: US dollar (USD). Note: One rate for country",,Tel Aviv,28.1,47.65,60.9,136.65,43.73,180.38
Italy,Euro (EUR),Milan,24.2,43.1,53.6,120.9,38.69,159.59
Italy,Euro (EUR),Naples,*,40.65,48,88.65,35.46,124.11
Italy,Euro (EUR),Rome,18.2,37.55,46.65,102.4,32.77,135.17
Italy,Euro (EUR),Other,14.56,30.04,37.32,81.92,26.21,108.13
Jamaica,Canadian dollar (CAD).,Kingston,20.4,30.25,43.1,93.75,30,123.75
Jamaica,Canadian dollar (CAD).,Montego Bay,45.3,54.15,78.3,177.75,56.88,234.63
Jamaica,Canadian dollar (CAD).,Other,16.32,24.2,34.48,75,24,99
Japan,Yen (JPY),Nagoya,"2,665.00","3,645.00","5,395.00","11,705.00","3,745.60","15,450.60"
Japan,Yen (JPY),Tokyo,"3,190.00","4,695.00","7,410.00","15,295.00","4,894.40","20,189.40"
Japan,Yen (JPY),Other,"2,552.00","3,756.00","5,928.00","12,236.00","3,915.52","16,151.52"
Jordan,Jordanian dinar (JOD),Amman,16.25,24.8,34.2,75.25,24.08,99.33
Jordan,Jordanian dinar (JOD),Other,13,19.84,27.36,60.2,19.26,79.46
Kazakhstan – Currency: US dollar (USD),,Almaty,*,26.1,35.8,61.9,24.76,86.66
Kazakhstan – Currency: US dollar (USD),,Astana,*,27.75,37.25,65,26,91
Kazakhstan – Currency: US dollar (USD),,Other,*,22.2,29.8,52,20.8,72.8
Kenya,Kenyan shilling (KES),Nairobi,"2,525.00","2,565.00","3,090.00","8,180.00","2,617.60","10,797.60"
Kenya,Kenyan shilling (KES),Other,"2,020.00","2,052.00","2,472.00","6,544.00","2,094.08","8,638.08"
Kiribati,Australian dollar (AUD). Note: One rate for country,Tarawa,*,*,*,*,17.50 CAD,*
Korea (Dem. People's Republic of),North Korean Won (KPW). Note: One rate for country,Pyongyang,*,*,*,*,17.50 CAD,*
Korea (Republic of),won (KRW),Seoul,"41,700.00","53,500.00","72,200.00","167,400.00","53,568.00","220,968.00"
