"Country - (Currency)Area","First 60DaysUS$","First 60 DaysLocal",">60 DaysLocal","Roomas %ofDSA","EffectiveDated/mm/y","SurveyDated/mm/y",Notes
Maw-La-Myine (Royal Hinthar and Strand) International Staff Only,130,"173,000","130,000",73,1/3/18,1/8/17,1
Monywa (Jade Royal) International Staff Only,91,"121,000","90,400",60,1/3/18,1/8/17,1
Mrauk Oo (International Staff),103,"137,000","102,000",53,1/3/18,1/8/17,
Mrauk Oo (Local Staff),87,"116,000","86,500",47,1/3/18,1/8/17,
"Mrauk Oo (Mrauk U Prince)International Staff Only",421,"560,000","420,000",76,1/3/18,1/8/17,1
Mrauk Oo (Mrauk U Prince) Local Staff Only,181,"241,000","181,000",62,1/3/18,1/8/17,1
Myeik,127,"169,000","126,000",65,1/3/18,1/8/17,
Myitkyina,101,"134,000","101,000",64,1/3/18,1/8/17,
Naypyitaw,104,"138,000","104,000",43,1/3/18,1/8/17,
"Naypyitaw (Hilton, Horizon Lake View, Kempinski, Parkroyal)",157,"209,000","157,000",49,1/3/18,1/8/17,1
Ngwe Saung Beach,207,"275,000","206,000",70,1/3/18,1/8/17,
Nyaungoo-Bagan,168,"223,000","168,000",60,1/3/18,1/8/17,
Nyaungoo-Bagan (Aureum Palace),308,"410,000","307,000",68,1/3/18,1/8/17,1
"Nyaungoo-Bagan (Tharabar, Aye Yar Riverview)",258,"343,000","258,000",66,1/3/18,1/8/17,1
Pathein,104,"138,000","104,000",43,1/3/18,1/8/17,
Putao (International Staff),141,"188,000","141,000",64,1/3/18,1/8/17,
Putao (Local Staff),95,"126,000","94,400",53,1/3/18,1/8/17,
Pyinoolwin,108,"144,000","108,000",64,1/3/18,1/8/17,
Sittwe (Royal Sittwe) International Staff Only,127,"169,000","126,000",63,1/3/18,1/8/17,1
Taunggyi (International Staff Only),161,"214,000","161,000",64,1/3/18,1/8/17,
Taunggyi (Local Staff Only),118,"157,000","118,000",54,1/3/18,1/8/17,
Taungoo,167,"222,000","166,000",63,1/3/18,1/8/17,
Thandwe (Ngapali Beach Only) October - April,380,"505,000","379,000",71,1/3/18,1/8/17,40
Elsewhere,83,"110,000","82,500",65,1/3/18,1/8/17,
Namibia (Namibia Dollar),,,,,,,
Windhoek,215,"2,510","1,880",66,1/3/18,1/7/17,
Windhoek (Avani Windhoek),530,"6,150","4,610",79,1/3/18,1/7/17,1
Gobabis,155,"1,810","1,360",69,1/3/18,1/7/17,
Henties Bay,135,"1,580","1,190",61,1/3/18,1/7/17,
Karibib (Etusis Lodge),142,"1,660","1,250",87,1/3/18,1/7/17,"1,7"
Katima Mulilo,183,"2,140","1,610",61,1/3/18,1/7/17,
Keetmanshoop,131,"1,530","1,150",63,1/3/18,1/7/17,
Luderitz (Nest),266,"3,110","2,330",68,1/3/18,1/7/17,1
Luderitz (Sea View Zum Sperrgebiet),158,"1,850","1,390",54,1/3/18,1/7/17,1
"Mariental (Camelthorn, Suricate, Zebra Lodges)",212,"2,480","1,860",85,1/3/18,1/7/17,"1,7"
Okahandja,244,"2,850","2,140",70,1/3/18,1/7/17,
Omaruru,315,"3,680","2,760",87,1/3/18,1/7/17,7
Ondangwa,143,"1,670","1,250",57,1/3/18,1/7/17,
Opuwo,133,"1,560","1,170",61,1/3/18,1/7/17,
Oshakati,127,"1,490","1,120",60,1/3/18,1/7/17,
Otavi,118,"1,380","1,040",69,1/3/18,1/7/17,
Otjiwarongo,120,"1,400","1,050",60,1/3/18,1/7/17,
Otjiwarongo (Okondjima Lodge),219,"2,560","1,920",87,1/3/18,1/7/17,"1,7"
Rundu,163,"1,900","1,430",66,1/3/18,1/7/17,
Rundu (Hakusembe River Lodge),218,"2,550","1,910",70,1/3/18,1/7/17,1
Sossesvlei (Sossesvlei Lodge),338,"3,950","2,960",87,1/3/18,1/7/17,"1,7"
Swakopmund,225,"2,630","1,970",70,1/3/18,1/7/17,
Swakopmund (Swakopmund Entertainment Centre),318,"3,720","2,790",75,1/3/18,1/7/17,1
Tsumeb,169,"1,980","1,490",73,1/3/18,1/7/17,
Tsumkwe,126,"1,470","1,100",58,1/3/18,1/7/17,
Walvis Bay,182,"2,130","1,600",68,1/3/18,1/7/17,
Elsewhere,101,"1,180",890,61,1/3/18,1/7/17,
Nauru (AUL Dollar),,,,,,,
All Areas,219,280,210,58,1/3/18,1/2/18,
Nepal (Nepalese Rupee),,,,,,,
Kathmandu,178,"18,500","13,900",64,1/3/18,1/11/17,
Kathmandu (Dwarika's),307,"31,900","23,900",61,1/3/18,1/11/17,1
Kathmandu (Hyatt Regency),236,"24,500","18,400",66,1/3/18,1/11/17,1
"Bhairahawa, Bharatpur, Biratnagar, Birgunj",60,"6,230","4,670",55,1/3/18,1/11/17,
Damak (IOM Guest House),103,"10,700","7,990",78,1/3/18,1/11/17,2
Dhulikhel and Nagarkot,115,"11,900","8,930",61,1/3/18,1/11/17,
Lumbini (Nepal Hokke),166,"17,200","13,000",67,1/3/18,1/11/17,1
"Nepalgunj, Hetauda, Dhanagadhi",50,"5,190","3,940",60,1/3/18,1/11/17,
Pokhara (Pokhara Grande and Shangrila),167,"17,300","13,000",65,1/3/18,1/11/17,1
Pokhara and Lumbini,113,"11,700","8,820",63,1/3/18,1/11/17,
Sauraha,63,"6,540","4,880",55,1/3/18,1/11/17,
Sauraha (Kasara Jungle Resort),165,"17,100","12,900",68,1/3/18,1/11/17,1
Elsewhere,43,"4,460","3,320",60,1/3/18,1/11/17,
Netherlands (Euro),,,,,,,
All Areas,353,288,216,55,1/3/18,1/3/18,
New Caledonia (CFP Franc),,,,,,,
All Areas,331,"32,200","24,200",64,1/3/18,1/12/17,
New Zealand (NZE Dollar),,,,,,,
Auckland and Wellington,314,433,325,57,1/3/18,1/7/17,
Elsewhere,285,393,295,54,1/3/18,1/7/17,
Nicaragua (Cordoba Oro),,,,,,,
Managua,205,"6,360","4,780",62,1/3/18,1/1/17,
Corn Island,166,"5,150","3,880",62,1/3/18,1/1/17,
Elsewhere,121,"3,750","2,820",57,1/3/18,1/1/17,
Niger (CFA Franc(XOF)),,,,,,,
Niamey,200,"107,000","80,300",49,1/3/18,1/7/17,
Niamey (Hotel Gaweye),275,"147,000","110,000",51,1/3/18,1/7/17,1
Niamey (Soluxe),318,"170,000","128,000",59,1/3/18,1/7/17,1
Elsewhere,164,"87,500","65,600",44,1/3/18,1/7/17,
Nigeria (Naira),,,,,,,
Abuja,122,"44,000","33,000",62,1/3/18,1/9/16,
Abuja (Protea),212,"76,500","57,400",67,1/3/18,1/3/17,1
Abuja (Sheraton),182,"65,400","49,100",56,1/3/18,1/9/16,1
Abuja (Transcorp Hilton),330,"119,000","89,300",69,1/3/18,1/3/17,1
Calabar City,69,"25,000","18,800",54,1/3/18,1/2/17,
Enugu (State Capital City),69,"24,800","18,600",55,1/3/18,1/9/16,
Ibadan City,105,"37,700","28,300",74,1/3/18,1/2/17,
Kaduna (State Capital City),57,"20,600","15,500",59,1/3/18,1/9/16,
Kano (State Capital City),74,"26,600","20,000",58,1/3/18,1/9/16,
Lagos,91,"32,600","24,500",60,1/3/18,1/2/17,
"Lagos (Eko, Federal Palace)",268,"96,500","72,400",73,1/3/18,1/9/16,1
"Lagos (Four Points, Protea Victoria Island)",199,"71,700","53,800",67,1/3/18,1/2/17,1
"Lagos (Intercontinental, Wheatbaker)",383,"138,000","104,000",70,1/3/18,1/2/17,1
Lagos (Moorhouse Ikoyi),232,"83,600","62,700",71,1/3/18,1/2/17,1
Lagos (Southern Sun Ikoyi),194,"69,900","52,400",60,1/3/18,1/2/17,1
Maiduguri,69,"25,000","18,800",65,1/3/18,1/9/16,
Obudu (Obudu Mountain Resort),93,"33,400","25,100",60,1/3/18,1/2/17,2
Port Harcourt,79,"28,500","21,400",61,1/3/18,1/9/16,
"Port Harcourt (Golden Tulip, Swiss International)",176,"63,500","47,600",67,1/3/18,1/9/16,1
Port Harcourt (Le Meridien),232,"83,400","62,600",66,1/3/18,1/9/16,1
Uyo City,57,"20,700","15,500",59,1/3/18,1/2/17,
Uyo City (Le Meridien),205,"73,800","55,400",61,1/3/18,1/2/17,1
Yenagoa City,87,"31,300","23,500",61,1/3/18,1/9/16,
Elsewhere,50,"18,000","13,500",58,1/3/18,1/9/16,
Niue (NZE Dollar),,,,,,,
All areas,244,336,252,51,1/3/18,1/11/16,
Norway (Norwegian Krone),,,,,,,
All Areas,304,"2,380","1,790",51,1/3/18,1/11/17,
Oman (Rial Omani),,,,,,,
Muscat,278,107,80,59,1/7/17,1/7/17,
Elsewhere,252,97,73,64,1/7/17,1/7/17,
Pakistan (Pakistani Rupee),,,,,,,
Islamabad (Marriott),249,"27,600","20,700",67,1/3/18,1/4/17,1
Islamabad (Serena),358,"39,700","29,800",73,1/3/18,1/4/17,1
Islamabad/Rawalpindi,185,"20,500","15,400",66,1/3/18,1/4/17,
"Bhurban (PC), Faisalabad and Quetta (Serena)",238,"26,400","19,800",69,1/3/18,1/4/17,1
Gilgit (Serena),150,"16,600","12,500",66,1/3/18,1/4/17,1
Gwadar (Zaver Pearl Continental),219,"24,300","18,200",81,1/3/18,1/4/17,1
Karachi,199,"22,000","16,500",67,1/3/18,1/4/17,
Lahore,188,"20,800","15,600",66,1/3/18,1/4/17,
Lahore (Avari),265,"29,400","22,100",72,1/3/18,1/4/17,1
Multan (Ramada),190,"21,100","15,800",71,1/3/18,1/4/17,1
Muzaffarabad (Pearl Continental),202,"22,400","16,800",70,1/3/18,1/4/17,1
Nathiagali,116,"12,900","9,680",67,1/3/18,1/4/17,
Peshawar (Pearl Continental),182,"20,200","15,200",71,1/3/18,1/4/17,1
Skardu,158,"17,500","13,100",71,1/3/18,1/4/17,
Swat (Serena),150,"16,600","12,500",66,1/3/18,1/4/17,1
Elsewhere,90,"10,000","7,500",60,1/3/18,1/4/17,
Palau (US Dollar),,,,,,,
All Areas,295,295,221,62,1/2/18,1/2/18,
Panama (Balboa),,,,,,,
Panama City,263,263,197,56,1/8/17,1/8/17,
Comarca Kuna Yala/San Blas,198,198,149,61,1/8/17,1/8/17,
Davíd,199,199,149,66,1/8/17,1/8/17,
El Valle de Anton,267,267,200,66,1/8/17,1/8/17,
Isla Colon,215,215,161,61,1/8/17,1/8/17,
Elsewhere,186,186,140,61,1/8/17,1/8/17,
Papua New Guinea (Kina),,,,,,,
Port Moresby,352,"1,120",840,68,1/7/17,1/11/16,
Alotau,208,660,495,72,1/7/17,1/7/16,
Arawa,226,720,540,67,1/7/17,1/11/16,
Buin,204,650,488,66,1/7/17,1/11/16,
Buka,286,910,680,70,1/7/17,1/11/16,
Daru,170,540,405,69,1/7/17,1/7/16,
Gaire,208,660,495,68,1/7/17,1/7/16,
Goroka,186,590,443,68,1/7/17,1/7/16,
Kavieng,220,700,530,73,1/7/17,1/7/16,
Kimbe,182,580,435,72,1/7/17,1/7/16,
Kiunga,208,660,495,72,1/7/17,1/7/16,
Kokopo,208,660,495,72,1/7/17,1/7/16,
Lae,220,700,530,71,1/7/17,1/7/16,
Loloata,289,920,690,61,1/7/17,1/2/15,
Lorengau,195,620,465,71,1/1/18,1/1/18,
Madang,173,550,413,68,1/7/17,1/7/16,
Mt. Hagen,167,530,398,68,1/7/17,1/7/16,
Popondetta,173,550,413,70,1/7/17,1/7/16,
Rabaul,195,620,465,62,1/7/17,1/2/15,
Siwai,198,630,473,65,1/7/17,1/12/16,
Tabubil,192,610,458,72,1/7/17,1/7/16,
Vanimo,192,610,458,66,1/7/17,1/7/16,
Wewak,164,520,390,68,1/7/17,1/7/16,
Elsewhere,148,471,353,65,1/7/17,1/11/16,
Paraguay (Guarani),,,,,,,
Asuncion,217,"1,209,000","908,000",57,1/3/18,1/4/17,
Ciudad del Este (Casino Aracay),167,"931,000","697,000",66,1/3/18,1/4/17,1
Elsewhere,127,"708,000","529,000",51,1/3/18,1/4/17,
Peru (Nuevo Sol),,,,,,,
Lima,240,780,580,65,1/3/18,1/7/16,
Arequipa,171,560,416,63,1/3/18,1/7/16,
Cuzco,196,640,478,60,1/3/18,1/7/16,
Iquitos,152,494,370,67,1/3/18,1/7/16,
Trujillo,173,560,422,60,1/3/18,1/7/16,
Elsewhere,126,409,309,59,1/3/18,1/7/16,
Philippines (Philippine Peso),,,,,,,
Metro Manila,256,"13,400","10,000",58,1/3/18,1/9/17,
Baguio City,126,"6,550","4,910",66,1/3/18,1/9/17,
Bataan,189,"9,890","7,420",76,1/3/18,1/9/17,
Batangas,157,"8,210","6,160",76,1/3/18,1/9/17,
Cebu City,230,"12,000","9,000",64,1/3/18,1/9/17,
"Clark, Pampanga",163,"8,510","6,380",70,1/3/18,1/9/17,
Davao City,150,"7,830","5,870",66,1/3/18,1/9/17,
Tacloban,103,"5,350","4,010",73,1/3/18,1/9/17,
Tagaytay,174,"9,090","6,820",64,1/3/18,1/9/17,
Tagbilaran,141,"7,350","5,510",72,1/3/18,1/9/17,
Elsewhere,91,"4,730","3,550",67,1/3/18,1/9/17,
Poland (Poland Zloty),,,,,,,
Warsaw,287,980,730,61,1/3/18,1/1/13,
Elsewhere,215,730,550,61,1/3/18,1/1/13,
Portugal (Euro),,,,,,,
Lisbon,396,323,242,61,1/3/18,1/6/17,
Porto,320,261,196,57,1/3/18,1/6/17,
Elsewhere,161,131,98,35,1/3/18,1/12/14,
Puerto Rico (US Dollar),,,,,,,
All Areas (20 Dec. - 30 Apr.),421,421,316,68,1/6/13,1/6/13,
All Areas (1 May - 20 Dec.),304,304,228,59,1/6/13,1/6/13,
Qatar (Qatari Rial),,,,,,,
Doha,340,"1,240",930,61,1/3/18,1/1/18,
Romania (Leu (New)),,,,,,,
Bucharest,240,910,680,65,1/3/18,1/7/17,
"Brasov, Constanta, Mamaia, Timisoara",192,730,550,61,1/3/18,1/7/17,
Cluj and Sibiu,159,600,452,58,1/3/18,1/7/17,
Elsewhere,142,540,406,56,1/3/18,1/7/17,
Russian Federation (Russian Rouble),,,,,,,
Moscow,361,"20,300","15,200",70,1/3/18,1/6/17,
Sakha,146,"8,190","8,190",68,1/3/18,1/9/16,
Sochi (1 Jun. - 15 Oct.),202,"11,300","11,300",71,1/3/18,1/6/17,
Sochi (16 Oct. - 31 May),164,"9,200","9,200",67,1/3/18,1/6/17,
St. Petersburg,332,"18,600","18,600",74,1/3/18,1/6/17,
Vladivostok,278,"15,600","11,700",66,1/3/18,1/1/18,
Elsewhere,132,"7,410","5,550",59,1/3/18,1/1/18,
Rwanda (Rwanda Franc),,,,,,,
Kigali,185,"159,000","159,000",60,1/3/18,1/3/18,
Kigali (Kigali Marriott & Kigali Serena),292,"251,000","188,000",68,1/3/18,1/3/18,1
Kigali (Mille Collines),245,"211,000","158,000",57,1/3/18,1/3/18,1
Kigali (Radisson Blu),271,"233,000","175,000",63,1/3/18,1/3/18,1
Bugesera,124,"107,000","80,000",65,1/3/18,1/8/16,
Bugesera (Golden Tulip La Palisse),145,"125,000","93,800",63,1/3/18,1/1/17,1
Karongi,170,"146,000","110,000",52,1/3/18,1/1/17,
Kibungo (Akagera Lodge),131,"113,000","84,300",63,1/3/18,1/1/17,1
Musanze,145,"125,000","93,800",69,1/3/18,1/1/17,
Nyamasheke (Nyungwe),475,"409,000","306,000",87,1/3/18,1/7/16,1
Rubavu,160,"138,000","103,000",70,1/3/18,1/7/16,
Rubavu (Serena Lake Kivu),240,"207,000","155,000",58,1/3/18,1/1/17,1
Elsewhere,83,"71,400","71,400",63,1/3/18,1/1/17,
Saint Maarten (N.A. Gulder),,,,,,,
All Areas (15 April - 15 December),249,446,335,56,1/9/17,1/6/17,
All Areas (16 December - 14 April),289,520,388,60,1/9/17,1/6/17,
Samoa (Tala),,,,,,,
"Apia, Upolu",148,360,270,54,1/3/18,1/11/16,
"Apia, Upolu (Aggie Grey Resort, Taumeasina)",258,630,473,68,1/3/18,1/11/16,1
"Apia, Upolu (Tanoa Tusitala)",221,540,405,65,1/3/18,1/11/16,1
"Cape Fatuosofia, Upolu (Le Vasa Resort)",175,426,320,59,1/3/18,1/11/16,1
"Lalomanu, Upolu (Aga Reef Resort & Spa)",316,770,580,71,1/3/18,1/11/16,1
Savaii,137,334,251,60,1/3/18,1/11/16,
Savaii (Le Legato),295,720,540,75,1/3/18,1/11/16,1
"Siumu, Upolu (Coconuts Beach Resort)",242,590,443,66,1/3/18,1/11/16,1
Elsewhere,122,297,223,57,1/3/18,1/11/16,
Sao Tome and Principe (Dobra),,,,,,,
Sao Tome,167,"3,477,000","2,602,000",53,1/2/18,1/7/17,
"Sao Tome (Omali Sao Tome, Pestana Sao Tome)",242,"5,038,000","3,789,000",61,1/2/18,1/7/17,1
Sao Tome (Pestana Equador),190,"3,956,000","2,977,000",87,1/2/18,1/7/17,"1,7"
Principe,97,"2,019,000","1,520,000",64,1/2/18,1/7/17,
Principe (Bom Bom Island Resort),394,"8,203,000","6,162,000",78,1/2/18,1/7/17,1
Saudi Arabia (Saudi Riyal),,,,,,,
Riyadh,381,"1,430","1,070",58,1/8/17,1/6/17,
Al-Khobar,365,"1,370","1,030",54,1/8/17,1/6/17,
Jeddah,280,"1,050",790,43,1/8/17,1/6/17,
"Jeddah (Crowne Plaza, Intercontinental)",485,"1,820","1,370",54,1/8/17,1/6/17,1
Elsewhere,320,"1,200",900,58,1/8/17,1/6/17,
Senegal (CFA Franc(XOF)),,,,,,,
Dakar,284,"152,000","114,000",58,1/3/18,1/1/17,
Dakar (King Fahd Palace),389,"208,000","156,000",60,1/3/18,1/1/17,1
M'Bour,198,"106,000","79,500",59,1/3/18,1/1/17,
M'Bour (Hotel Lamantin Beach),327,"175,000","131,000",64,1/3/18,1/1/17,1
Toubacouta (Les Paletuviers),194,"104,000","78,000",87,1/3/18,1/1/17,1
Elsewhere,131,"70,000","52,500",54,1/3/18,1/1/17,
Serbia (Dinar),,,,,,,
Belgrade,180,"17,300","17,300",60,1/3/18,1/7/16,
Pristina,153,"14,700","11,100",59,1/3/18,1/11/17,
Elsewhere,101,"9,710","7,310",53,1/3/18,1/7/16,
Seychelles (SEY Rupee),,,,,,,
Mahe Victoria,319,"4,410","3,310",61,1/3/18,1/3/18,
"La Digue (Le Repaire, Patatran)",404,"5,590","4,190",72,1/3/18,1/3/18,1
La Digue and Praslin,295,"4,080","3,060",59,1/3/18,1/3/18,
Praslin (Archipel),680,"9,400","7,050",69,1/3/18,1/3/18,1
Praslin (Indian Ocean Lodge),468,"6,470","4,850",71,1/3/18,1/3/18,1
Sierra Leone (Leone),,,,,,,
Freetown,268,"1,983,000","1,487,000",63,1/2/18,1/8/17,
Freetown (Radisson Blu Mammy Yoko House),284,"2,102,000","1,576,000",61,1/2/18,1/8/17,1
Makeni,103,"762,000","570,000",53,1/2/18,1/8/17,
Elsewhere,92,"681,000","511,000",56,1/2/18,1/8/17,
Singapore (SIN Dollar),,,,,,,
All Areas,409,540,405,62,1/3/18,1/7/15,
Slovak Republic (Euro),,,,,,,
Bratislava,271,221,221,57,1/3/18,1/4/17,
Elsewhere,182,148,148,57,1/3/18,1/4/17,
"Slovenia, Republic of (Euro)",,,,,,,
All Areas,286,233,175,60,1/3/18,1/4/17,
Solomon Islands (SOI Dollar),,,,,,,
Honiara,286,"2,200","1,650",58,1/3/18,1/2/18,
Honiara (Heritage Park),490,"3,770","2,830",67,1/3/18,1/2/18,1
Auki,153,"1,180",890,61,1/3/18,1/2/18,
Gizo,202,"1,550","1,160",58,1/3/18,1/2/18,
Elsewhere,159,"1,220",920,40,1/3/18,1/2/18,
Somalia (Somali Shilling),,,,,,,
Mogadishu (Bancroft/International Campus- MIA),191,"4,641,000","4,641,000",87,1/8/17,1/8/17,"1,7"
Mogadishu (Chelsea Village),173,"4,204,000","4,204,000",87,1/8/17,1/8/17,"1,7"
Mogadishu (Nadiif),150,"3,645,000","3,645,000",87,1/8/17,1/8/17,"1,7"
Mogadishu (RA International),224,"5,443,000","5,443,000",87,1/9/17,1/9/17,"1,7"
Mogadishu (Thorn Tree),184,"4,471,000","4,471,000",71,1/8/17,1/8/17,1
Mogadishu (UNICEF Guest House),185,"4,496,000","4,496,000",87,1/9/17,1/9/17,"1,7"
Mogadishu (UNSOS Camp - MIA),144,"3,499,000","3,499,000",70,1/8/17,1/8/17,7
Mogadishu (WFP Guest House),201,"4,884,000","4,884,000",75,1/8/17,1/8/17,1
Baidoa (UNSOS Guest House),144,"3,499,000","3,499,000",70,1/8/17,1/8/17,1
Baledongle (UNSOS Guest House),144,"3,499,000","3,499,000",70,1/8/17,1/8/17,1
Beletweyne (UNSOS Guest House),144,"3,499,000","3,499,000",70,1/8/17,1/8/17,1
Berbera (Mansoor),95,"2,309,000","2,309,000",66,1/8/17,1/8/17,1
Dhobley (UNSOS Guest House),144,"3,499,000","3,499,000",70,1/8/17,1/8/17,1
Dollow (WFP Guest House),209,"5,079,000","5,079,000",87,1/8/17,1/8/17,1
Galkayo (WFP Guest House),92,"2,236,000","2,236,000",71,1/8/17,1/8/17,1
Garowe (UNCC New Villas),213,"5,176,000","5,176,000",75,1/8/17,1/8/17,1
Garowe (UNSOS GIH),230,"5,589,000","5,589,000",76,1/8/17,1/8/17,1
Hargeisa (Hotels Ambassador & Maansoor),136,"3,305,000","3,305,000",56,1/8/17,1/8/17,1
Jowhar (UNSOS Guest House),144,"3,499,000","3,499,000",70,1/8/17,1/8/17,1
Kismayo (Atlantean),403,"9,793,000","9,793,000",87,1/9/17,1/9/17,"1,7"
Kismayo (UNSOS Guest House),144,"3,499,000","3,499,000",70,1/8/17,1/8/17,1
Elsewhere,74,"1,798,000","1,798,000",50,1/8/17,1/8/17,
