"Country - (Currency)Area","First 60DaysUS$","First 60 DaysLocal",">60 DaysLocal","Roomas %ofDSA","EffectiveDated/mm/y","SurveyDated/mm/y",Notes
South Africa (Rand),,,,,,,
Pretoria,205,"2,400","1,800",70,1/3/18,1/7/17,
Bloemfontein,200,"2,340","1,760",60,1/3/18,1/7/17,
Capetown,261,"3,050","2,290",65,1/3/18,1/7/17,
Durban,251,"2,930","2,200",65,1/3/18,1/7/17,
East London,271,"3,170","2,380",67,1/3/18,1/7/17,
Johannesburg,346,"4,040","3,030",67,1/3/18,1/7/17,
Johannesburg-Sandton,322,"3,760","2,820",68,1/3/18,1/7/17,
Johannesburg-Sandton (Sandton Sun),560,"6,550","4,910",75,1/3/18,1/7/17,1
Magaliesburg/Muldersdrift,263,"3,080","2,310",73,1/3/18,1/10/12,
Musina,175,"2,040","1,530",47,1/3/18,1/7/17,
Polokwane,163,"1,910","1,430",61,1/3/18,1/10/12,
Sun City,246,"2,870","2,150",71,1/3/18,1/10/12,
Sun City (Special Hotels),337,"3,940","2,960",77,1/3/18,1/10/12,"1,34"
Elsewhere,129,"1,510","1,130",61,1/3/18,1/7/17,
"South Sudan, Republic of (Southern Sudanese Pound)",,,,,,,
Juba,221,"29,200","21,900",61,1/3/18,1/10/14,
Juba (Juba Grand),258,"34,100","25,600",70,1/3/18,1/10/14,1
Juba (Logali House),238,"31,400","23,600",74,1/3/18,1/10/14,1
Juba (UN Guest Houses),80,"10,600","10,600",60,1/3/18,1/10/14,
Aweil (Aweil Grand),269,"35,500","26,700",74,1/3/18,1/10/14,1
Aweil (South Sudan),192,"25,400","19,000",60,1/3/18,1/10/14,1
"Rumbek (Palm Tree, Safari Style)",202,"26,700","20,100",68,1/3/18,1/10/14,1
Torit,117,"15,500","11,600",67,1/3/18,1/10/14,
Torit (Torit Hotel),223,"29,500","22,100",61,1/3/18,1/10/14,1
"Wau (Amarula Lodge, Regency, Universal Gab, Wau River Lodge)",181,"23,900","18,000",68,1/3/18,1/10/14,1
"Yambio (Sunset, Tourist)",181,"23,900","18,000",69,1/3/18,1/10/14,1
Elsewhere,91,"12,000","8,980",57,1/3/18,1/10/14,
Elsewhere (UN Guest Houses),71,"9,380","7,000",48,1/3/18,1/10/14,
Spain (Euro),,,,,,,
Madrid,314,256,192,54,1/3/18,1/8/17,
Barcelona,293,239,179,58,1/3/18,1/8/17,
Elsewhere,233,190,143,55,1/3/18,1/8/17,
Sri Lanka (Sri Lanka Rupee),,,,,,,
Colombo,214,"33,100","24,900",68,1/3/18,1/2/18,
Colombo (Sri Lanka-based staff),122,"18,900","14,200",60,1/3/18,1/2/18,
"Ampara, Batticaloa, Trincomalee",76,"11,800","8,850",65,1/3/18,1/2/18,
"Jaffna, Killinochchi, Mannar, Mullaitivu, Vavunia",76,"11,800","8,850",65,1/3/18,1/2/18,
Kandy,157,"24,300","18,200",68,1/3/18,1/2/18,
Elsewhere,127,"19,700","14,800",62,1/3/18,1/2/18,
St. Kitts and Nevis (E.C. Dollar),,,,,,,
All Areas (15 Apr. - 14 Dec.),374,"1,010",760,54,1/10/17,1/10/17,
All Areas (15 Dec - 14 Apr.),456,"1,230",920,59,1/10/17,1/10/17,
St. Lucia (E.C. Dollar),,,,,,,
All Areas (15 Apr.-14 Dec.),448,"1,210",910,58,1/10/17,1/10/17,
"All Areas (15 Dec.-14 Apr,)",485,"1,310",980,60,1/10/17,1/10/17,
St.Vincent-Grenadines (E.C. Dollar),,,,,,,
All Areas (15 Apr. - 14 Dec.),319,860,650,50,1/10/17,1/10/17,
All Areas (15 Dec. - 14 Apr.),333,900,680,51,1/10/17,1/10/17,
Sudan (Sudanese Pound),,,,,,,
Khartoum,165,"4,830","3,630",60,1/3/18,1/5/17,
Port Sudan,141,"4,130","3,100",48,1/3/18,1/5/17,
Port Sudan (Coral),265,"7,760","5,830",56,1/3/18,1/5/17,1
Elsewhere,117,"3,430","2,580",60,1/3/18,1/5/17,
Suriname (Surinamese Dollar),,,,,,,
Paramaribo,172,"1,270",950,67,1/3/18,1/5/17,
Elsewhere,98,730,550,66,1/3/18,1/4/17,
Swaziland (Lilangeni),,,,,,,
Mbabane,222,"2,590","1,940",68,1/3/18,1/1/18,
Ezulwini,295,"3,450","2,590",71,1/3/18,1/1/18,
Manzini,189,"2,210","1,660",61,1/3/18,1/1/18,
Piggs Peak,163,"1,910","1,430",67,1/3/18,1/1/18,
Elsewhere,136,"1,590","1,190",62,1/3/18,1/1/18,
Sweden (Swedish Krona),,,,,,,
Stockholm,424,"3,480","2,610",64,1/3/18,1/6/17,
Elsewhere,324,"2,660","2,000",62,1/3/18,1/6/17,
Switzerland (Swiss Franc),,,,,,,
All Areas,408,383,287,61,1/3/18,1/7/17,
Syrian Arab Republic (Syrian Pound),,,,,,,
Damascus,196,"85,100","63,800",66,1/12/17,1/7/15,
Damascus (Four Seasons),274,"119,000","89,400",65,1/12/17,1/7/15,1
Aleppo,161,"69,900","52,500",59,1/12/17,1/7/15,
Homs,118,"51,200","38,600",67,1/12/17,1/7/15,
Lattakia,169,"73,300","55,100",72,1/12/17,1/7/15,
Tartous,106,"46,000","34,700",63,1/12/17,1/7/15,
Elsewhere,89,"38,600","29,100",57,1/12/17,1/7/15,
Tajikistan (Tajik Somoni),,,,,,,
Dushanbe,170,"1,500","1,130",66,1/3/18,1/7/17,
Darvaz (Karon Palace),145,"1,280",960,74,1/3/18,1/7/17,1
Regional Centers,90,790,600,68,1/3/18,1/7/17,21
Elsewhere,51,450,335,61,1/3/18,1/7/17,
"Tanzania, United Rep. of (Shilling)",,,,,,,
Dar es Salaam,223,"501,000","375,000",62,1/3/18,1/11/17,
Dar es Salaam  (Special hotels),312,"700,000","525,000",67,1/3/18,1/11/17,"1,24"
Arusha,188,"422,000","317,000",65,1/3/18,1/11/17,
Bagamoyo,150,"337,000","254,000",57,1/3/18,1/11/17,
Dodoma,141,"317,000","238,000",51,1/3/18,1/11/17,
Kigoma,147,"330,000","247,000",56,1/3/18,1/11/17,
Mbeya,105,"236,000","177,000",60,1/3/18,1/11/17,
Morogoro,105,"236,000","177,000",64,1/3/18,1/11/17,
Moshi,134,"301,000","227,000",64,1/3/18,1/11/17,
Mtwara,127,"285,000","213,000",59,1/3/18,1/11/17,
Mwanza,150,"337,000","254,000",63,1/3/18,1/11/17,
Ngorongoro/Serengeti,341,"766,000","575,000",72,1/3/18,1/11/17,
Pemba,127,"285,000","213,000",59,1/3/18,1/11/17,
Tanga,140,"314,000","236,000",57,1/3/18,1/11/17,
"Zanzibar (Park Hyatt, Serena Inn)",310,"696,000","523,000",64,1/3/18,1/11/17,1
"Zanzibar, Nungwi (Diamond La Gema, Essque Zallu, Royal Zanzibar)",398,"894,000","671,000",87,1/3/18,1/11/17,"1,7"
"Zanzibar, Nungwi (Hideaway, Melia)",469,"1,053,000","790,000",87,1/3/18,1/11/17,"1,7"
"Zanzibar, Nungwi (Neptune)",520,"1,167,000","876,000",88,1/3/18,1/11/17,"1,7"
"Zanzibar, Stonetown",170,"382,000","287,000",62,1/3/18,1/11/17,
Elsewhere,95,"213,000","159,000",59,1/3/18,1/11/17,
Thailand (Thai Baht),,,,,,,
Bangkok,228,"7,150","5,360",62,1/3/18,1/4/17,
Cha Am,190,"5,960","4,470",59,1/3/18,1/4/17,
Chiang Mai,146,"4,580","3,440",67,1/3/18,1/4/17,
Chiang Rai,143,"4,500","3,380",65,1/3/18,1/4/17,
Hua Hin,298,"9,350","7,010",61,1/3/18,1/4/17,
Kanchanaburi,169,"5,310","3,980",65,1/3/18,1/4/17,
Koh Samui,167,"5,260","3,950",59,1/3/18,1/4/17,
Pattaya,196,"6,160","4,620",59,1/3/18,1/4/17,
Phuket,244,"7,660","5,750",65,1/3/18,1/4/17,
Rayong,172,"5,400","4,050",62,1/3/18,1/4/17,
"Songkla, HatYai",98,"3,070","2,300",52,1/3/18,1/4/17,
Elsewhere,82,"2,580","1,940",57,1/3/18,1/4/17,
The former Yugoslav Republic of Macedonia (Denar),,,,,,,
Skopje,167,"8,390","6,280",62,1/3/18,1/3/18,
Ohrid & Struga,90,"4,520","3,420",61,1/3/18,1/3/18,
Elsewhere,74,"3,720","2,810",64,1/3/18,1/3/18,
Timor-Leste (US Dollar),,,,,,,
Dili,160,160,120,61,1/2/17,1/2/17,
"Dili (Novo Turismo, Timor Plaza)",227,227,170,56,1/2/17,1/2/17,1
Baucau (Hotel Pousada),115,115,86,61,1/2/17,1/2/17,1
Com -Lautem (Com Beach Resort),135,135,101,44,1/2/17,1/2/17,1
Oecussi (RAO Hotel),81,81,61,62,1/2/17,1/2/17,1
Elsewhere,66,66,50,57,1/2/17,1/2/17,
Togo (CFA Franc(XOF)),,,,,,,
Lome,198,"106,000","79,500",59,1/3/18,1/1/15,
Lome (Mercure Sarakawa),344,"184,000","138,000",66,1/3/18,1/1/15,1
"Lome (Palm Beach, Sancta Maria)",288,"154,000","116,000",60,1/3/18,1/1/15,1
Elsewhere,88,"47,100","35,300",60,1/3/18,1/1/15,
Tokelau (NZE Dollar),,,,,,,
All Areas,92,127,95,63,1/3/18,1/11/16,7
Tonga (Pa'anga),,,,,,,
Nuku'Alofa,232,498,374,67,1/2/18,1/2/18,
Vava'u,118,253,190,69,1/2/18,1/2/18,
Elsewhere,66,142,107,51,1/2/18,1/2/18,
Trinidad and Tobago (TT Dollar),,,,,,,
Trinidad - All Areas,313,"2,120","1,590",57,1/3/18,1/6/17,
Tobago (15 Apr.-15 Dec.),294,"1,990","1,500",55,1/3/18,1/6/17,
Tobago (16 Dec.-14 Apr.),313,"2,120","1,590",57,1/3/18,1/6/17,
Tunisia (Tunisian Dinar),,,,,,,
Tunis,142,343,257,60,1/3/18,1/4/16,
Elsewhere,110,265,199,58,1/3/18,1/4/16,
Turkey (New Turkish Lira),,,,,,,
Ankara,171,650,486,56,1/3/18,1/10/17,
Antalya,185,700,530,57,1/3/18,1/10/17,
Diyarbakir,135,510,383,50,1/3/18,1/10/17,
Gaziantep,133,500,380,53,1/3/18,1/10/17,
Istanbul,235,890,670,59,1/3/18,1/10/17,
Izmir,191,730,540,56,1/3/18,1/10/17,
Sanliurfa,135,510,383,50,1/3/18,1/10/17,
Elsewhere,124,471,353,52,1/3/18,1/10/17,
Turkmenistan (new Manat),,,,,,,
Ashgabat,249,870,650,51,1/1/17,1/1/17,
Ashgabat (Resident),180,630,473,47,1/1/17,1/1/17,
Balkanabat (Nebitchi),128,448,336,55,1/1/17,1/1/17,1
Balkanabat (Nebitchi) Resident,79,277,207,36,1/1/17,1/1/17,1
Turkmenbashi,125,438,328,61,1/1/17,1/1/17,
Turkmenbashy (Resident),84,294,221,49,1/1/17,1/1/17,
Elsewhere (Foreigners),94,329,247,63,1/1/17,1/1/17,
Elsewhere (Turkmen Citizens),61,214,160,49,1/1/17,1/1/17,
Turks & Caicos Islands (US Dollar),,,,,,,
Grand Turk,384,384,288,64,1/3/16,1/3/16,
Providenciales (14 Apr. - 21 Dec.),438,438,329,67,1/3/16,1/3/16,
Providenciales (22 Dec. - 13 Apr.],540,540,405,70,1/3/16,1/3/16,
Tuvalu (AUL Dollar),,,,,,,
All Areas,210,268,201,68,1/3/18,1/2/18,
Uganda (Uganda Shilling),,,,,,,
Kampala,216,"788,000","591,000",69,1/3/18,1/12/17,
Kampala (Kampala Serena),530,"1,932,000","1,451,000",72,1/3/18,1/12/17,1
Kampala (Sheraton),291,"1,061,000","795,000",71,1/3/18,1/12/17,1
Entebbe,203,"740,000","554,000",70,1/3/18,1/12/17,
Entebbe (Protea),347,"1,265,000","948,000",74,1/3/18,1/12/17,1
Jinja (Jinja Nile Resort),290,"1,057,000","795,000",73,1/3/18,1/12/17,1
"Kabale (Chobe Safari Lodge, Paraa Safari Lodge)",281,"1,025,000","769,000",69,1/3/18,1/1/18,1
Kabale (Silverback Lodge),315,"1,148,000","860,000",71,1/3/18,1/1/18,1
Mbarara,98,"357,000","270,000",66,1/3/18,1/12/17,
Mbarara (Mweya Safari Lodge),284,"1,035,000","777,000",69,1/3/18,1/1/18,1
Elsewhere,63,"230,000","171,000",61,1/3/18,1/12/17,
Ukraine (Hryvnia),,,,,,,
Kyiv,192,"5,220","3,920",60,1/3/18,1/4/17,
Kyiv (Hyatt Regency),330,"8,980","6,750",61,1/3/18,1/4/17,1
"Kyiv (Intercontinental, Premier Palace)",307,"8,350","6,260",63,1/3/18,1/4/17,1
Kyiv (Radisson Blu),279,"7,590","5,680",69,1/3/18,1/4/17,1
Dnipro,94,"2,560","1,930",48,1/3/18,1/4/17,
Dnipro (Grand),175,"4,760","3,560",56,1/3/18,1/4/17,1
Donetsk,200,"5,440","4,080",50,1/3/18,1/4/17,
Kharkiv,100,"2,720","2,040",43,1/3/18,1/4/17,
Kharkiv (Kharkiv Palats),170,"4,620","3,480",47,1/3/18,1/4/17,1
Lviv,92,"2,500","1,880",52,1/3/18,1/4/17,
Lviv (Leopolis),132,"3,590","2,690",56,1/3/18,1/4/17,1
Odesa,106,"2,880","2,180",53,1/3/18,1/4/17,
Odesa (Londonskaya),139,"3,780","2,830",55,1/3/18,1/4/17,1
Odesa (Otrada),176,"4,790","3,590",59,1/3/18,1/4/17,1
Elsewhere,68,"1,850","1,390",44,1/3/18,1/4/17,
United Arab Emirates (U.A.E. Dirham),,,,,,,
Abu Dhabi,370,"1,360","1,020",54,1/2/18,1/8/17,
Dubai,392,"1,440","1,080",62,1/2/18,1/8/17,
Elsewhere,376,"1,380","1,040",59,1/2/18,1/8/17,
United Kingdom (U.K. Pound),,,,,,,
London,413,297,223,65,1/3/18,1/6/17,
Elsewhere,363,261,196,60,1/3/18,1/6/17,
Uruguay (Peso Uruguayo),,,,,,,
Montevideo,216,"6,110","4,580",56,1/3/18,1/7/17,
Colonia,247,"6,990","5,240",57,1/3/18,1/7/17,
Punta Del Este (April-Nov),193,"5,460","4,100",60,1/3/18,1/7/17,
"Punta Del Este (Conrad) December-March",469,"13,300","9,960",75,1/3/18,1/7/17,1
Punta Del Este (Dec-March),345,"9,760","7,330",72,1/3/18,1/7/17,
Salto,245,"6,930","5,210",61,1/3/18,1/7/17,
Elsewhere,169,"4,780","3,590",52,1/3/18,1/7/17,
USA (US Dollar),,,,,,,
Washington D.C.,373,373,280,60,1/7/17,1/7/17,
Boston,385,385,289,70,1/8/17,1/8/17,
Chicago,339,339,254,71,1/8/17,1/8/17,
Honolulu,385,385,289,73,1/8/17,1/8/17,
Los Angeles,385,385,289,73,1/8/17,1/8/17,
Miami,348,348,261,72,1/8/17,1/8/17,
New York (First 30 Days),410,410,273,60,1/8/17,1/8/17,
New York (Next 30 Days),349,349,274,60,1/8/17,1/8/17,
"New York Special Hotels (Jan-Aug)First 30 days",500,500,333,65,1/8/17,1/8/17,"1,22"
"New York Special Hotels (Jan-Aug)Next 30 days",425,425,333,65,1/8/17,1/8/17,"1,22"
"New York Special Hotels (Sep-Dec)First 30 days",600,600,400,69,1/8/17,1/8/17,"1,23"
"New York Special Hotels (Sep-Dec)Next 30 days",510,510,400,69,1/8/17,1/8/17,"1,23"
Philadelphia,326,326,245,68,1/8/17,1/8/17,
San Francisco,381,381,286,70,1/8/17,1/8/17,
Elsewhere,303,303,227,70,1/8/17,1/8/17,
Uzbekistan (Uzbekistan Sum),,,,,,,
Tashkent,212,"1,732,000","1,299,000",55,1/2/18,1/9/16,
Tashkent (Residents),175,"1,430,000","1,071,000",53,1/2/18,1/9/16,
Bukhara,95,"776,000","580,000",62,1/2/18,1/9/16,
Bukhara (Residents),67,"548,000","409,000",52,1/2/18,1/9/16,
Fergana,106,"866,000","654,000",61,1/2/18,1/9/16,
Fergana (Residents),80,"654,000","490,000",53,1/2/18,1/9/16,
Nukus and Urgench (Nonresidents),85,"695,000","523,000",58,1/2/18,1/9/16,
Samarkhand,147,"1,201,000","899,000",61,1/2/18,1/9/16,
Samarkhand (Residents),91,"744,000","556,000",45,1/2/18,1/9/16,
Termez,95,"776,000","580,000",60,1/2/18,1/9/16,
Elsewhere,76,"621,000","466,000",55,1/2/18,1/9/16,
Elsewhere (Residents),58,"474,000","360,000",44,1/2/18,1/9/16,
Vanuatu (Vatu),,,,,,,
Port Vila,367,"37,800","28,400",61,1/3/18,1/2/18,
Santos,268,"27,600","20,700",57,1/3/18,1/2/18,
Tanna Island,308,"31,700","23,800",65,1/3/18,1/2/18,
Elsewhere,113,"11,600","8,700",84,1/3/18,1/3/17,
Venezuela (Bolivar Fuerte),,,,,,,
Caracas,146,"4,213,000","3,174,000",71,1/3/18,1/9/15,
"Barcelona, Puerto La Cruz",109,"3,145,000","2,366,000",58,1/3/18,1/9/15,
Barinas,56,"1,616,000","1,212,000",71,1/3/18,1/9/15,
Barquisimieto,100,"2,886,000","2,164,000",71,1/3/18,1/9/15,
Cumana,78,"2,251,000","1,702,000",74,1/3/18,1/9/15,
Isla de Margarita,108,"3,116,000","2,337,000",77,1/3/18,1/9/15,
La Guaira,146,"4,213,000","3,174,000",77,1/3/18,1/9/15,
Maracaibo,90,"2,597,000","1,962,000",70,1/3/18,1/9/15,
Maracay and Valencia,98,"2,828,000","2,135,000",65,1/3/18,1/9/15,
Maturin,68,"1,962,000","1,472,000",74,1/3/18,1/9/15,
Merida,67,"1,933,000","1,443,000",69,1/3/18,1/9/15,
Puerto Ordaz,112,"3,232,000","2,424,000",67,1/3/18,1/9/15,
Punto Fijo,73,"2,106,000","1,587,000",66,1/3/18,1/9/15,
San Cristobal,52,"1,500,000","1,125,000",55,1/3/18,1/9/15,
Elsewhere,47,"1,356,000","1,010,000",59,1/3/18,1/9/15,
Vietnam (VietNam Dong),,,,,,,
Hanoi,168,"3,821,000","3,821,000",59,1/3/18,1/7/16,
Can Tho,89,"2,024,000","1,524,000",55,1/3/18,1/7/16,
Da Lat,130,"2,957,000","2,229,000",58,1/3/18,1/7/16,
"Da Nang City, Nha Trang",132,"3,002,000","2,252,000",62,1/3/18,1/7/16,
Ha Long City,98,"2,229,000","1,683,000",55,1/3/18,1/7/16,
"Hai Phong City , Do Son",132,"3,002,000","2,252,000",60,1/3/18,1/7/16,
Ho Chi Minh City,159,"3,616,000","3,616,000",58,1/3/18,1/7/16,
Hoi An City,128,"2,911,000","2,184,000",61,1/3/18,1/7/16,
Hue City,103,"2,343,000","1,751,000",56,1/3/18,1/7/16,
Elsewhere,69,"1,569,000","1,569,000",54,1/3/18,1/7/16,
Virgin Islands (U.S.A) (US Dollar),,,,,,,
All Areas (1 May -14 Dec.),381,381,286,64,1/11/15,1/11/15,
All Areas (15 Dec. - 30 Apr.),530,530,398,70,1/11/16,1/11/16,
West Bank (Shekel),,,,,,,
Jericho Area,186,650,487,63,1/3/18,1/8/17,
The Gaza Strip,165,570,431,61,1/3/18,1/8/17,
Elsewhere in the West Bank,217,750,570,62,1/3/18,1/8/17,
Western Sahara (Morocco Dirham),,,,,,,
Laayoune,120,"1,110",830,45,1/3/18,1/7/17,
"Yemen, Republic of (Yemeni Rial)",,,,,,,
Sana'a,150,"67,800","51,100",50,1/3/18,1/4/15,
Sana'a (DTF-Former Sheraton),291,"132,000","98,500",64,1/3/18,1/9/15,
"Sana'a (Movenpick, Sheba)",220,"99,400","74,600",54,1/3/18,1/4/15,1
Aden,134,"60,600","45,700",52,1/3/18,1/4/15,
Hodeidah,104,"47,000","35,300",46,1/3/18,1/4/15,
Mukalla (Ramada),144,"65,100","48,800",49,1/3/18,1/4/15,1
Socotra,127,"57,400","42,900",59,1/3/18,1/4/15,
Taiz (Al-Saeed),184,"83,200","62,400",54,1/3/18,1/4/15,1
Elsewhere,100,"45,200","33,900",51,1/3/18,1/4/15,
Zambia (Zambian Kwacha (New)),,,,,,,
Lusaka,246,"2,400","1,810",69,1/3/18,1/9/17,
Lusaka (Intercontinental Hotel),313,"3,060","2,300",66,1/3/18,1/9/17,1
"Lusaka (Protea Arcade, Southern Sun Ridgeway, Taj Pamodzi)",343,"3,350","2,510",72,1/3/18,1/9/17,1
Chingola,186,"1,820","1,370",66,1/3/18,1/9/17,
Chipata,137,"1,340","1,010",69,1/3/18,1/9/17,
Chipata (Protea),299,"2,920","2,190",74,1/3/18,1/10/17,1
Kitwe,219,"2,140","1,600",67,1/3/18,1/9/17,
Livingstone,187,"1,830","1,370",74,1/3/18,1/9/17,
"Livingstone (Protea, David Livingstone, Avani Victoria Falls)",445,"4,350","3,260",67,1/3/18,1/9/17,1
Ndola,289,"2,820","2,120",67,1/3/18,1/9/17,
"Siavonga (Lake Safari, Lake Kariba, Freshview)",174,"1,700","1,280",65,1/3/18,1/9/17,1
Solwezi,183,"1,790","1,340",72,1/3/18,1/9/17,
"Solwezi (Kasanshi, Royal Solwezi)",269,"2,630","1,970",66,1/3/18,1/9/17,1
Elsewhere,128,"1,250",940,67,1/3/18,1/9/17,
Zimbabwe (Zimbabwe Dollar),,,,,,,
Harare,188,"28,200,000","21,150,000",60,1/9/17,1/9/17,
Bulawayo,151,"22,650,000","16,988,000",58,1/9/17,1/9/17,
Chegutu (Pamuzunda Hotel),189,"28,350,000","21,263,000",63,1/9/17,1/9/17,1
Kadoma,160,"24,000,000","18,000,000",53,1/9/17,1/9/17,
Kariba,157,"23,550,000","17,663,000",59,1/9/17,1/9/17,
Masvingo,127,"19,050,000","14,288,000",60,1/9/17,1/9/17,
Mutare,156,"23,400,000","17,550,000",57,1/9/17,1/9/17,
Nyanga,150,"22,500,000","16,875,000",58,1/9/17,1/9/17,
Victoria Falls,199,"29,850,000","22,388,000",58,1/9/17,1/9/17,
Victoria Falls (Victoria Falls Hotel),293,"43,950,000","32,963,000",61,1/9/17,1/9/17,1
Vumba,152,"22,800,000","17,100,000",63,1/9/17,1/9/17,
Elsewhere,110,"16,500,000","12,375,000",56,1/9/17,1/9/17,